"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 4:21:10 PM GMT+2","4","Only Player","Disagree","Agree","Agree","Neutral",""
"2019/06/20 4:26:09 PM GMT+2","3","Player & DM","Neutral","Disagree","Neutral","Neutral","It was a new way to explore fun character ideas and interact in ridiculous ways. Voice acting has always been hard for me as well and the games have helped with that. "
"2019/06/20 4:31:44 PM GMT+2","2","Mostly DM","Agree","Strongly agree","Strongly agree","Agree","Improv"
"2019/06/20 4:36:17 PM GMT+2","4","Only Player","Agree","Strongly agree","Neutral","Agree",""
"2019/06/20 4:37:07 PM GMT+2","5","Player & DM","Neutral","Agree","Neutral","Agree","I become comfortable around new people quicker and am better at talking in groups of strange people now"
"2019/06/20 4:37:24 PM GMT+2","2","Player & DM","Strongly agree","Strongly agree","Agree","Agree","I learned to be open and honest with people about my feelings even if it doesn't necessarily change things."
"2019/06/20 4:37:38 PM GMT+2","8","Mostly DM","Agree","Agree","Strongly agree","Strongly agree","Gained a sense of community and belonging "
"2019/06/20 4:38:34 PM GMT+2","2","Only DM","Agree","Neutral","Agree","Strongly agree",""
"2019/06/20 4:38:57 PM GMT+2","2","Player & DM","Neutral","Agree","Neutral","Neutral","Better improvisation"
"2019/06/20 4:43:23 PM GMT+2","30","Mostly Player","Disagree","Neutral","Agree","Neutral","Knowledge of nerd culture and some history"
"2019/06/20 4:43:57 PM GMT+2","4","Only DM","Agree","Agree","Agree","Strongly agree","I have learned how to be more creative with my problem solving. I also have become very good at quick calculations and probability."
"2019/06/20 4:44:09 PM GMT+2","35","Player & DM","Strongly disagree","Agree","Disagree","Agree",""
"2019/06/20 4:47:05 PM GMT+2","5","Mostly Player","Agree","Neutral","Agree","Agree","how to truly be in someone else's shoes"
"2019/06/20 4:55:17 PM GMT+2","4","Player & DM","Agree","Disagree","Agree","Strongly agree","I honestly didnt think I was very creative until I got into DnD. I learned a lot about mysekd and about others. I learned to listen better, improved my language skills(I am not a native speaker) and being present."
"2019/06/20 4:56:55 PM GMT+2","5","Mostly DM","Disagree","Agree","Agree","Neutral",""
"2019/06/20 4:59:29 PM GMT+2","5","Player & DM","Neutral","Agree","Disagree","Strongly agree","Improved improve skills"
"2019/06/20 5:04:40 PM GMT+2","10","Mostly DM","Agree","Agree","Agree","Agree",""
"2019/06/20 5:07:06 PM GMT+2","3","Player & DM","Neutral","Agree","Agree","Strongly agree","How to make more friends with common interests and be better at speaking out."
"2019/06/20 5:08:23 PM GMT+2","3","Mostly Player","Agree","Agree","Agree","Strongly disagree","Effective communication between friends; confidence in myself, my humor, and my ideas; creative problem solving; and a better understanding of what really makes storytelling "
"2019/06/20 5:08:54 PM GMT+2","31 ","Player & DM","Strongly agree","Strongly agree","Agree","Agree","Conflict resolution. How to describe something complicated and leave little doubt what's being seen.
Public speaking, how to hold a room. 
Intense planning, time management, how to reconsider goals as a Dungeonmaster and player when things not only do not break my way but plans go off the rails. How to say 'No' with a good reason backing it up. How to say 'Yes' the same way. 
 "
"2019/06/20 5:09:35 PM GMT+2","2","Only Player","Disagree","Agree","Agree","Agree","I learned how to be myself, ironic when you are playing the role of another person, but each character I play is a reflection of a piece of me"
"2019/06/20 5:12:52 PM GMT+2","18","Player & DM","Agree","Agree","Strongly agree","Agree","Friendship, comradery, math"
"2019/06/20 5:20:35 PM GMT+2","0.5","Only Player","Disagree","Disagree","Disagree","Disagree","Confidence"
"2019/06/20 5:24:43 PM GMT+2","3","Mostly DM","Neutral","Strongly agree","Agree","Agree","Writing skills, and problem solving skills"
"2019/06/20 5:24:56 PM GMT+2","2","Mostly Player","Agree","Strongly agree","Agree","Strongly agree","I've learned more than anything else, empathy through D&D. It's helped me to see how other people think and feel about things. I used to struggle with it greatly, but through D&D and roleplaying I've begun to see how everything someone does has a reason."
"2019/06/20 5:35:41 PM GMT+2","4","Mostly Player","Neutral","Agree","Neutral","Agree",""
"2019/06/20 5:36:57 PM GMT+2","3","Player & DM","Neutral","Agree","Agree","Agree","Voice acting skills, creative problem solving skills, adaptation to different circumstances and systems"
"2019/06/20 5:37:39 PM GMT+2","23","Player & DM","Agree","Strongly agree","Disagree","Neutral","Creativity and story writing skills. As well as communication and story telling. 
Story telling and story wringing are separate and supportive skill sets that never the less are very different."
